Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2016,2,February,2016-02,7878572.0,Class 1
2016,2,February,2016-02,10454.0,Class 11
2016,2,February,2016-02,210846.0,Class 2
2016,2,February,2016-02,69363.0,Class 3
2016,2,February,2016-02,49458.0,Class 4
2016,2,February,2016-02,222029.0,Class 5
2016,2,February,2016-02,5104.0,Class 6
2016,2,February,2016-02,12449.0,Class 7
2016,2,February,2016-02,79779.0,Class 8
2016,2,February,2016-02,143793.0,Class 9
2016,3,March,2016-03,8962479.0,Class 1
2016,3,March,2016-03,15892.0,Class 11
2016,3,March,2016-03,236931.0,Class 2
2016,3,March,2016-03,80875.0,Class 3
2016,3,March,2016-03,56271.0,Class 4
2016,3,March,2016-03,251046.0,Class 5
2016,3,March,2016-03,6313.0,Class 6
2016,3,March,2016-03,15694.0,Class 7
2016,3,March,2016-03,90191.0,Class 8
2016,3,March,2016-03,165280.0,Class 9
2016,4,April,2016-04,8883841.0,Class 1
2016,4,April,2016-04,18200.0,Class 11
2016,4,April,2016-04,227941.0,Class 2
2016,4,April,2016-04,76050.0,Class 3
2016,4,April,2016-04,56687.0,Class 4
2016,4,April,2016-04,239869.0,Class 5
2016,4,April,2016-04,5523.0,Class 6
2016,4,April,2016-04,14690.0,Class 7
2016,4,April,2016-04,88623.0,Class 8
2016,4,April,2016-04,158681.0,Class 9
2016,5,May,2016-05,9417849.0,Class 1
2016,5,May,2016-05,22230.0,Class 11
2016,5,May,2016-05,235019.0,Class 2
2016,5,May,2016-05,73366.0,Class 3
2016,5,May,2016-05,54731.0,Class 4
2016,5,May,2016-05,245977.0,Class 5
2016,5,May,2016-05,5737.0,Class 6
2016,5,May,2016-05,15577.0,Class 7
2016,5,May,2016-05,92336.0,Class 8
2016,5,May,2016-05,163679.0,Class 9
2016,6,June,2016-06,9314800.0,Class 1
2016,6,June,2016-06,27171.0,Class 11
2016,6,June,2016-06,249356.0,Class 2
2016,6,June,2016-06,78529.0,Class 3
2016,6,June,2016-06,57591.0,Class 4
2016,6,June,2016-06,253445.0,Class 5
2016,6,June,2016-06,5922.0,Class 6
2016,6,June,2016-06,16844.0,Class 7
2016,6,June,2016-06,93614.0,Class 8
2016,6,June,2016-06,165287.0,Class 9
2016,7,July,2016-07,9683900.0,Class 1
